image_name,detected_count,score,level,object_load_penalty,category_penalty,workspace_obstruction_penalty,spatial_overlap_penalty,spatial_dispersion_penalty,alignment_penalty,total_penalty
desk_017_jpg.rf.6335f437de24fee1bbf5f9b9252538e7.jpg,4,88,Tidy,0,2,0,0,10,0,12
desk_038_jpg.rf.98f5c74c81cc91635e299e65154d8728.jpg,10,64,Messy,3,16,12,0,5,0,36
desk_046_jpg.rf.c216221de6265985aecd2622a736d106.jpg,10,60,Messy,3,16,12,4,5,0,40
desk_058_jpg.rf.86bb9fe1e3187e5fc3dd0e964c118836.jpg,12,78,Slightly Messy,3,12,2,0,5,0,22
desk_065_jpg.rf.4fb2734a863b527113972e146b70b277.jpg,20,39,Very Messy,10,22,18,6,5,0,61
desk_069_jpg.rf.4826f1cc6f00e1ae9226291d0d08249f.jpg,22,51,Messy,10,16,18,0,5,0,49
desk_134_jpg.rf.bf032fc2037df2d877525429aa53aa3e.jpg,20,39,Very Messy,10,28,18,0,5,0,61
desk_136_jpg.rf.8aacc57805aa839ce6e70bd78847ba93.jpg,21,39,Very Messy,10,28,18,0,5,0,61
desk_001_jpg.rf.a42315b2f56453f2f1dd11d39ecc7e04.jpg,6,89,Tidy,0,0,2,4,5,0,11
desk_004_jpg.rf.b9de40f1eeae5ae04dd2464233bbe32b.jpg,6,93,Tidy,0,0,0,2,5,0,7
desk_007_jpg.rf.21a22d17fc2802b7456c0058cd148331.jpg,6,91,Tidy,0,2,0,2,5,0,9
desk_011_jpg.rf.d338181124a11b320270265420fbf709.jpg,6,91,Tidy,0,2,2,0,5,0,9
desk_013_jpg.rf.cf377eccf26502d8669a3e3ec7506d8e.jpg,7,91,Tidy,0,2,2,0,5,0,9
desk_016_jpg.rf.f9e40779186900fa35063e04d527c3b1.jpg,6,95,Tidy,0,0,0,0,5,0,5
desk_026_jpg.rf.a87fb485cc55782bade4e882f591e3a5.jpg,9,84,Slightly Messy,3,4,2,2,5,0,16
desk_027_jpg.rf.699ef4227cd318dcdb2b62e6c2428fad.jpg,12,80,Slightly Messy,3,8,2,2,5,0,20
desk_033_jpg.rf.3075421594934c5913cc9e0f45ddfe27.jpg,13,78,Slightly Messy,5,10,2,0,5,0,22
desk_034_jpg.rf.0d4bc763191e3daaf133ff7c94657f48.jpg,12,78,Slightly Messy,3,12,2,0,5,0,22
desk_036_jpg.rf.aacabb31f3b4ce32d6260f7a0005340f.jpg,11,64,Messy,3,16,12,0,5,0,36
desk_039_jpg.rf.571c38708198d0a6f5cfaec05b84caeb.jpg,12,68,Messy,3,14,8,2,5,0,32
desk_040_jpg.rf.536171cd7e6258a3cc6e91e9aa85dfb2.jpg,12,66,Messy,3,14,8,4,5,0,34
desk_045_jpg.rf.3722f2a75a485666e24bb3ab42c84880.jpg,12,70,Slightly Messy,3,16,2,4,5,0,30
desk_047_jpg.rf.a2d12c45ff4e40a1b932397659c644c4.jpg,11,60,Messy,3,16,12,4,5,0,40
desk_057_jpg.rf.87ed0359830ac0da31debedb5ddced42.jpg,14,66,Messy,5,12,12,0,5,0,34
desk_064_jpg.rf.7a02b093c1c554154fdabf67615dc364.jpg,18,51,Messy,8,18,18,0,5,0,49
desk_067_jpg.rf.d52577e1ddfea242fdf588c491cd3854.jpg,22,45,Very Messy,10,20,18,2,5,0,55
desk_075_jpg.rf.1d2e8c8ba2c526791556cb97528d6169.jpg,19,50,Messy,10,20,8,2,10,0,50
desk_076_jpg.rf.37813eea5f9dcaf7bf4b15ec4f460198.jpg,19,42,Very Messy,10,20,18,0,10,0,58
desk_086_jpg.rf.535fda1a1b63848f45b508ca08a89a14.jpg,19,43,Very Messy,10,20,18,4,5,0,57
desk_094_jpg.rf.e8f932bba075b70a24502888c552b8fd.jpg,13,62,Messy,5,8,18,2,5,0,38
desk_095_jpg.rf.ab3604c15f8e4c6c6ff8b7b39bd922de.jpg,14,60,Messy,5,10,18,2,5,0,40
desk_097_jpg.rf.a492e4e330d1d2fd7fe785c0a0e5d25d.jpg,14,74,Slightly Messy,5,4,8,4,5,0,26
desk_098_jpg.rf.49e655bc883c6300cc544d70bc7af90b.jpg,14,74,Slightly Messy,5,6,8,2,5,0,26
desk_101_jpg.rf.d66d9c69531dd8a6a9b39c118929aee3.jpg,8,89,Tidy,0,4,2,0,5,0,11
desk_105_jpg.rf.bee6642391c6c8814c48e1f436fac5ce.jpg,16,57,Messy,8,10,18,2,5,0,43
desk_107_jpg.rf.f0893b3beb46bb4ee3e26e6f024f3f5d.jpg,17,57,Messy,8,10,18,2,5,0,43
desk_110_jpg.rf.68146e32c0ba7892d5e7cc274f4c37b4.jpg,12,74,Slightly Messy,3,10,8,0,5,0,26
